"year","country","admin1","admin2","hhid","hhweight","urban","hhsize","head_age","head_male","head_literate","nrooms","tv","music","fridge","exp","totbiom_cons","elec_cons","gas_cons","frwd_exp","frwd_cons","petrol_exp","scooter","car","publictransport_exp","publictransport","washmach","elec_any"
"2014","GTM","I. Metropolitana","Guatemala","1",525,1,3,60,1,1,5,1,1,1,NA,0,9.072,8.97272727272727,0,0,3297.0436488135,0,1,659.4087297627,1,1,1
"2014","GTM","I. Metropolitana","Guatemala","2",525,1,3,52,0,1,3,1,1,1,11783.126763375,0,1.9008,3.07636363636364,0,0,0,0,0,527.52698381016,1,0,1
"2014","GTM","I. Metropolitana","Guatemala","3",525,1,NA,61,0,0,NA,1,1,1,NA,9.40909090909091,12.3984,NA,91.3027471979123,9,0,0,0,791.29047571524,1,1,1
"2014","GTM","I. Metropolitana","Guatemala","4",525,1,6,39,0,0,1,1,0,0,13065.6767427635,11.25,0,0,76.0856226649269,11.25,0,0,0,0,0,0,1
"2014","GTM","I. Metropolitana","Guatemala","5",525,1,3,58,1,1,6,1,1,1,30387.5832174029,0,11.3616,NA,0,0,0,0,0,1318.8174595254,1,1,1
"2014","GTM","I. Metropolitana","Guatemala","6",525,1,3,38,1,1,1,1,1,0,7896.67315765054,0,1.1232,6.40909090909091,0,0,0,0,0,659.4087297627,1,0,1
"2014","GTM","I. Metropolitana","Guatemala","7",525,1,2,37,1,1,2,1,0,1,11193.9704252063,0,3.024,6.40909090909091,0,0,0,0,0,659.4087297627,1,0,1
"2014","GTM","I. Metropolitana","Guatemala","8",525,1,3,62,1,1,2,1,1,1,12428.0792248314,0.136363636363636,3.5856,6.40909090909091,0,0,0,0,0,263.76349190508,1,0,1
"2014","GTM","I. Metropolitana","Guatemala","9",525,1,5,29,1,1,2,1,0,1,17676.2118575158,0,4.9248,6.40909090909091,0,0,0,0,0,0,0,0,1
"2014","GTM","I. Metropolitana","Guatemala","10",525,1,3,55,0,1,3,1,0,1,13363.4251461255,0,1.7712,6.40909090909091,0,0,0,0,0,0,0,0,1
"2014","GTM","I. Metropolitana","Guatemala","11",838,1,4,48,1,1,1,1,1,0,8976.58176200807,5.625,1.944,1.28181818181818,152.171245329854,5.625,1318.8174595254,0,1,0,0,0,1
"2014","GTM","I. Metropolitana","Guatemala","12",838,1,3,36,1,1,1,0,1,1,19165.4611118106,0,5.4864,6.40909090909091,0,0,0,0,0,65.94087297627,1,1,1
"2014","GTM","I. Metropolitana","Guatemala","13",838,1,3,65,0,1,3,1,1,1,15646.2474448156,0,5.8752,6.40909090909091,0,0,1318.8174595254,0,1,0,0,1,1
"2014","GTM","I. Metropolitana","Guatemala","14",838,1,2,50,1,0,1,1,0,0,19421.362422707,0,7.8192,6.40909090909091,0,0,1318.8174595254,0,1,263.76349190508,1,0,1
"2014","GTM","I. Metropolitana","Guatemala","15",838,1,4,37,0,0,1,1,1,0,8054.93125279359,0,3.4992,5.12727272727273,0,0,0,0,0,0,0,0,1
"2014","GTM","I. Metropolitana","Guatemala","16",838,1,3,49,0,0,2,1,1,1,11458.7483920802,0,NA,6.40909090909091,0,0,0,0,0,329.70436488135,1,0,1
"2014","GTM","I. Metropolitana","Guatemala","17",838,1,6,35,0,1,2,1,0,1,18468.5168081999,2.25,NA,6.40909090909091,913.027471979123,2.25,0,0,0,263.76349190508,1,0,1
"2014","GTM","I. Metropolitana","Guatemala","18",838,1,5,67,1,1,7,1,1,1,43595.5400745498,0,NA,8.97272727272727,0,0,NA,0,1,65.94087297627,1,1,1
