"year","country","admin1","admin2","hhid","hhweight","urban","hhsize","head_age","head_male","head_literate","nrooms","tv","music","fridge","exp","totbiom_cons","elec_cons","gas_cons","frwd_exp","frwd_cons","petrol_exp","scooter","car","publictransport_exp","publictransport","washmach","elec_any"
"2018","ETH","Tigray","North Western Tigray","01010200116005",1367.7314453125,1,3,30,1,1,NA,0,0,1,6238.38790588014,0.032942,0.864,0,0,0,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116014",1367.7314453125,1,4,35,1,0,1,1,0,0,3379.54035885041,0.032942,1.8576,0,0,0,NA,0,0,18.6109424399766,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116023",1367.7314453125,1,3,35,1,0,1,1,0,0,3121.46862368274,0.037648,1.8576,0,0,0,NA,0,0,18.6109424399766,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116032",1367.7314453125,1,4,38,1,0,1,0,0,0,3679.79689688203,0.032942,2.2032,0,0,0,NA,0,0,24.8145899199687,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116041",1367.7314453125,1,5,NA,1,0,3,0,0,0,4603.1064301542,0.032942,1.8576,0,0,0,NA,0,0,24.8145899199687,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116050",1367.7314453125,1,1,24,1,1,1,0,0,0,673.716116327151,0,1.8576,0,0,0,NA,0,0,37.2218848799531,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116059",1367.7314453125,1,1,65,0,0,2,1,0,0,2595.19252913006,0.032942,4.0176,0,0,0,NA,0,0,31.0182373999609,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116068",1367.7314453125,1,2,28,0,1,1,1,0,0,3364.03124015043,0.032942,0,0,0,0,NA,0,0,24.8145899199687,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116077",1367.7314453125,1,1,25,0,1,1,1,0,0,3139.04562487605,0.032942,4.4064,0,0,0,NA,0,0,49.6291798399375,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116086",1367.7314453125,1,2,70,0,0,1,1,0,0,2430.79587091027,0.032942,1.8576,0,0,0,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116095",1367.7314453125,1,2,78,0,0,1,0,0,0,2363.58968987702,0.032942,2.2032,0,0,0,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010200116104",1367.7314453125,1,4,28,1,1,1,0,0,0,3469.28645906096,0.032942,0,0,0,0,NA,0,0,74.4437697599062,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101004",6698.37841796875,0,5,60,1,0,2,0,0,0,3968.68008120033,0.16930368,2.2032,0,397.0334387195,0.0745056,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101005",563.4150390625,0,6,40,1,0,2,0,0,0,3948.62162101503,0.1579968,0,0,0,0.1579968,NA,0,0,0,0,0,0
"2018","ETH","Tigray","North Western Tigray","01010301101010",6698.37841796875,0,3,35,0,1,1,0,0,0,1626.18279275529,0.0958984,1.8576,0,0,0.0789984,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101012",563.4150390625,0,6,40,1,1,3,0,0,0,2207.46456163055,0.0394992,0.134707425353543,0,0,0.0394992,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101016",6698.37841796875,0,7,56,1,0,3,0,0,0,5275.99539348402,0.187792488,5.7456,0,545.920978239312,0.1579968,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101020",563.4150390625,0,NA,40,1,1,1,0,0,0,2728.46755582523,0.13950144,0,0,0,0.1184976,NA,0,0,49.6291798399375,1,0,0
"2018","ETH","Tigray","North Western Tigray","01010301101022",6698.37841796875,0,5,40,0,0,1,0,0,0,3446.74653988366,0.0958984,1.8576,0,0,0.0789984,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101028",6698.37841796875,0,2,45,0,0,2,0,0,0,3137.80489538005,0.1579968,2.2032,0,397.0334387195,0.1579968,NA,0,0,49.6291798399375,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101034",6698.37841796875,0,3,37,1,1,4,0,0,0,3041.5449653155,0.0563992,1.8576,0,0,0.0394992,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101040",6698.37841796875,0,4,35,1,0,2,0,0,0,2178.72099497326,0.07740304,1.8576,0,0,0.0394992,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101046",6698.37841796875,0,3,27,1,0,1,0,0,0,4509.53474733099,0.14329744,1.8576,0,0,0.0789984,NA,0,0,248.145899199687,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010301101052",6698.37841796875,0,NA,60,1,0,3,0,0,0,3333.8401557478,0,1.8576,0,0,0.0789984,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010400404008",8846.70703125,0,7,58,1,0,1,0,0,0,8483.28114063998,0.0525096,0.40412227606063,0,0,0.0525096,NA,0,0,372.218848799531,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400404027",8846.70703125,0,8,40,1,0,2,0,0,0,6297.11576869074,0.0525096,0,0,0,0.0525096,NA,0,0,124.072949599844,1,0,0
"2018","ETH","Tigray","North Western Tigray","01010400404046",8846.70703125,0,3,33,1,0,1,0,0,0,4296.43945639325,0.0350064,0,0,0,0.0350064,NA,0,0,124.072949599844,1,0,0
"2018","ETH","Tigray","North Western Tigray","01010400404060",8846.70703125,0,7,53,0,0,3,0,0,0,3961.44249247368,0.0525096,0,0,0,0.0525096,NA,0,0,124.072949599844,1,0,0
"2018","ETH","Tigray","North Western Tigray","01010400404084",8846.70703125,0,1,NA,1,0,2,0,0,0,771.009987638362,0.0394992,0,0,0,0.0394992,NA,0,0,0,0,0,0
"2018","ETH","Tigray","North Western Tigray","01010400404103",8846.70703125,0,6,64,1,0,3,0,0,0,5088.43845133893,0.0350064,0,0,0,0.0350064,NA,0,0,74.4437697599062,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400404122",8846.70703125,0,7,60,1,0,1,0,0,0,3502.99294370225,0.087516,0,0,0,0.087516,NA,0,0,24.8145899199687,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400404141",8846.70703125,0,2,60,0,0,1,0,0,0,1678.70700808589,0.0175032,0,0,0,0.0175032,NA,0,0,55.8328273199297,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400404160",8846.70703125,0,6,58,1,0,2,0,0,0,3827.65049515518,0.0525096,0.0359219800942782,0,0,0.0525096,NA,0,0,124.072949599844,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400404178",8846.70703125,0,5,30,1,0,1,0,0,0,4290.4425971626,0.0525096,0.0359219800942782,0,0,0.0525096,NA,0,0,62.0364747999219,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400404197",8846.70703125,0,7,36,1,0,1,0,0,0,3492.44674298627,0.0175032,0,0,0,0.0175032,NA,0,0,24.8145899199687,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400404216",8846.70703125,0,3,50,0,0,3,0,0,0,3083.21279755612,0.0175032,0,0,0,0.0175032,NA,0,0,62.0364747999219,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400804007",10183.4912109375,0,7,60,1,0,4,0,0,0,6139.74991094827,0.07361874,0.673537126767716,0,0,0.011232,NA,0,0,NA,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400804027",10183.4912109375,0,1,37,0,1,2,0,0,0,2259.05822983915,0.0478088,0.0538829701414173,0,198.51671935975,0.0007488,NA,0,0,79.4066877439,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400804047",10183.4912109375,0,5,42,1,1,2,0,0,0,5096.29640481358,0,0,0,0,0,NA,0,0,79.4066877439,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400804067",10183.4912109375,0,3,35,1,1,2,0,0,0,4729.97102112004,0.0498992,0.269414850707087,0,248.145899199687,0.0394992,NA,0,0,49.6291798399375,1,0,0
"2018","ETH","Tigray","North Western Tigray","01010400804087",10183.4912109375,0,4,40,1,0,1,0,0,0,5370.80780580324,0.0789984,0,0,NA,0.0789984,NA,0,0,148.887539519812,1,0,0
"2018","ETH","Tigray","North Western Tigray","01010400804107",10183.4912109375,0,4,28,1,1,1,0,0,0,4037.02359760492,0.0808821,0.0898049502356955,0,148.887539519812,0.0394992,NA,0,0,49.6291798399375,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400804127",10183.4912109375,0,3,28,1,1,2,0,0,0,4927.76398160713,0.0550992,0.0359219800942782,0,248.145899199687,0.0394992,NA,0,0,49.6291798399375,1,0,0
"2018","ETH","Tigray","North Western Tigray","01010400804147",10183.4912109375,0,4,30,1,1,2,1,0,1,4290.23580891326,0.0945984,0.107765940282835,0,496.291798399375,0.0789984,NA,0,0,0,0,0,1
"2018","ETH","Tigray","North Western Tigray","01010400804167",10183.4912109375,0,4,32,1,1,2,0,0,0,6394.09945762795,0.1748968,0.152668415400682,0,496.291798399375,0.1579968,NA,0,0,99.258359679875,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400804187",10183.4912109375,0,4,30,1,1,2,0,0,0,4470.76195058104,0.0867984,0.0359219800942782,0,297.775079039625,0.0789984,NA,0,0,99.258359679875,1,0,0
"2018","ETH","Tigray","North Western Tigray","01010400804207",10183.4912109375,0,3,32,1,0,1,0,0,0,3529.46183961689,0.1353976,0.0538829701414173,0,372.218848799531,0.1184976,NA,0,0,29.7775079039625,1,0,1
"2018","ETH","Tigray","North Western Tigray","01010400804227",10183.4912109375,0,3,32,1,0,2,0,0,0,4367.16103766517,0.1340976,0.107765940282835,0,372.218848799531,0.1184976,NA,0,0,101.739818671872,1,0,1
"2018","ETH","Tigray","Central Tigray","01020600113003",2165.57470703125,1,7,60,1,0,4,1,0,1,7836.03392022746,0.032942,7.8624,0,0,0,NA,0,0,29.7775079039625,1,0,1
"2018","ETH","Tigray","Central Tigray","01020600113011",2165.57470703125,1,2,27,0,1,1,1,0,0,4235.02334634133,0.032942,1.08,0,0,0,NA,0,0,24.8145899199687,1,0,1
"2018","ETH","Tigray","Central Tigray","01020600113019",2165.57470703125,1,2,38,1,1,1,1,0,0,5099.39822855358,0.032942,9.8928,0,0,0,NA,0,0,74.4437697599062,1,0,1
"2018","ETH","Tigray","Central Tigray","01020600113027",2165.57470703125,1,1,70,0,0,1,0,0,0,2400.81157475698,0.032942,0.9504,0,0,0,NA,0,0,0,0,0,1
"2018","ETH","Tigray","Central Tigray","01020600113035",2165.57470703125,1,6,60,1,0,3,1,0,1,8743.00718180232,0.04706,9.8928,0,0,0,NA,0,0,186.109424399766,1,0,1
"2018","ETH","Tigray","Central Tigray","01020600113043",2165.57470703125,1,4,38,1,1,2,1,0,1,6160.22194763224,0.032942,6.264,0,0,0,NA,0,0,49.6291798399375,1,0,1
"2018","ETH","Tigray","Central Tigray","01020600113051",2165.57470703125,1,5,35,1,0,2,1,0,0,5627.32862910091,0.032942,5.4,0,0,0,NA,0,0,59.555015807925,1,0,1
