"year","country","admin1","admin2","hhid","hhweight","urban","hhsize","head_age","head_male","head_literate","nrooms","tv","music","fridge","exp","totbiom_cons","elec_cons","gas_cons","frwd_exp","frwd_cons","petrol_exp","scooter","car","publictransport_exp","publictransport","washmach","elec_any"
"2018","NGA","South East","Abia","10001",15279.640625,1,6,55,1,1,3,1,0,1,7222.02642108375,0,6.3,NA,0,0,572.989559753214,0,1,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10002",15279.640625,1,5,52,1,1,3,1,0,1,5522.90069105108,0,NA,NA,0,0,381.993039835476,0,1,0,0,1,1
"2018","NGA","South East","Abia","10003",15279.640625,1,6,60,1,1,3,1,0,1,9330.6442112045,0,4.5,4.07076923076923,0,0,429.74216981491,0,1,3485.68648849872,1,1,1
"2018","NGA","South East","Abia","10004",15279.640625,1,4,72,1,1,3,1,0,1,5436.88854239775,0,2.7,0,0,0,381.993039835476,0,1,0,0,0,1
"2018","NGA","South East","Abia","10005",15279.640625,1,6,51,1,1,3,1,0,1,6227.44153191785,0,NA,NA,0,0,477.491299794345,0,1,4357.1081106234,1,0,1
"2018","NGA","South East","Abia","10008",15279.640625,1,7,65,1,1,3,1,0,1,9304.93722165063,0,4.5,NA,0,0,238.745649897172,0,1,0,0,0,1
"2018","NGA","South East","Abia","10009",15279.640625,0,7,44,1,1,3,1,0,1,NA,0,NA,NA,0,0,NA,0,1,2323.79099233248,1,0,1
"2018","NGA","South East","Abia","10010",15279.640625,1,4,67,1,1,4,1,0,1,7152.25374684789,0,NA,4.07076923076923,0,0,477.491299794345,0,1,4357.1081106234,1,0,1
"2018","NGA","South East","Abia","10031",4958.84716796875,1,4,48,1,1,3,1,0,1,4073.79316838648,0,0,0,0,0,114.597911950643,0,1,0,0,0,1
"2018","NGA","South East","Abia","10032",4958.84716796875,1,3,53,1,1,3,1,0,0,7142.85867198302,0,6.3,NA,0,0,286.494779876607,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10033",4958.84716796875,1,2,56,1,1,3,1,0,1,2607.35788204345,0,3.15,0,0,0,286.494779876607,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10034",4958.84716796875,1,7,55,0,1,3,0,0,0,5190.96708383092,0,0,0,0,0,429.74216981491,0,0,5809.4774808312,1,0,1
"2018","NGA","South East","Abia","10035",4958.84716796875,1,5,66,1,1,3,1,0,1,7181.58513070689,0,NA,0,0,0,190.996519917738,0,0,3485.68648849872,1,0,1
"2018","NGA","South East","Abia","10036",4958.84716796875,1,5,66,1,1,3,1,0,1,7345.5066114095,0,NA,NA,0,0,143.247389938303,0,0,0,0,0,1
"2018","NGA","South East","Abia","10037",4958.84716796875,1,2,68,0,0,2,0,0,0,1656.06663828426,0.102791878172589,0,0,28.6494779876607,6.85279187817259,143.247389938303,0,0,0,0,0,1
"2018","NGA","South East","Abia","10038",4958.84716796875,1,5,59,1,1,3,1,0,0,5163.05146405386,0,0,0,0,0,334.243909856041,0,1,0,0,0,1
"2018","NGA","South East","Abia","10040",4958.84716796875,1,1,37,1,1,3,1,0,0,3502.36250234786,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10051",3545.4638671875,1,5,36,1,1,2,1,0,1,3756.55256435249,0,1.44,0,0,0,0,0,0,1742.84324424936,1,0,1
"2018","NGA","South East","Abia","10053",3545.4638671875,1,2,87,1,1,4,1,0,1,1697.0400849322,0,3.6,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10054",3545.4638671875,1,2,62,1,1,5,0,0,0,2326.65964108553,0,1.62,0,0,0,0,0,0,1161.89549616624,1,0,1
"2018","NGA","South East","Abia","10055",3545.4638671875,1,4,64,1,1,2,1,0,0,3851.60398790778,0,1.8,0,0,0,0,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10056",3545.4638671875,1,1,71,0,0,1,1,0,0,1526.71709216703,0,1.62,0,0,0,0,0,0,580.94774808312,1,0,1
"2018","NGA","South East","Abia","10057",3545.4638671875,1,5,66,1,1,4,1,0,0,3502.40157262854,0.411167512690355,3.6,0,114.597911950643,27.4111675126904,0,0,0,1742.84324424936,1,0,1
"2018","NGA","South East","Abia","10058",3545.4638671875,1,5,74,1,1,4,1,0,1,6888.01350209953,0,1.62,0,0,0,362.893387843702,0,0,NA,1,0,1
"2018","NGA","South East","Abia","10059",3545.4638671875,1,3,23,1,1,2,1,0,0,6791.35996434177,0,1.71,0,0,0,362.893387843702,0,0,10166.5855914546,1,0,1
"2018","NGA","South East","Abia","10060",3545.4638671875,1,6,52,1,1,2,1,0,0,4130.5388942294,0,0.9,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10061",3131.96923828125,0,8,43,1,1,4,0,0,0,9611.31822480903,0,4.599,0,0,0,429.74216981491,1,0,10166.5855914546,1,0,1
"2018","NGA","South East","Abia","10062",3131.96923828125,0,1,68,0,1,6,0,0,0,3196.47807086042,0,2.7,0,0,0,0,0,0,1161.89549616624,1,0,1
"2018","NGA","South East","Abia","10063",3131.96923828125,0,5,54,1,0,2,0,0,0,3402.80466296627,0,2.16,0,0,0,0,0,0,1161.89549616624,1,0,1
"2018","NGA","South East","Abia","10064",3131.96923828125,0,4,71,1,1,3,0,0,0,NA,0,2.16,0,0,0,0,0,0,0,0,0,0
"2018","NGA","South East","Abia","10065",3131.96923828125,1,6,52,0,1,2,1,0,1,3992.19020107275,0.205583756345178,1.8,0,57.2989559753214,13.7055837563452,0,1,0,1161.89549616624,1,0,1
"2018","NGA","South East","Abia","10066",3131.96923828125,0,1,55,0,1,6,0,0,0,3244.73383898621,0,2.7,0,0,0,0,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10067",3131.96923828125,0,3,72,1,1,5,0,0,0,3116.43099212336,0,2.16,0,0,0,257.845301888946,1,0,871.42162212468,1,0,1
"2018","NGA","South East","Abia","10068",3131.96923828125,0,6,57,0,0,5,0,0,0,8075.46363544863,0,2.16,0,0,0,620.738689732648,1,0,NA,1,0,1
"2018","NGA","South East","Abia","10069",3131.96923828125,0,2,87,0,0,2,0,0,0,5388.70182804631,1.26728048385355,0,0,286.494779876607,68.5279187817259,381.993039835476,1,0,5228.52973274808,1,0,1
"2018","NGA","South East","Abia","10070",3131.96923828125,0,4,52,0,1,5,1,0,0,4935.82752321155,0,2.16,0,0,0,525.240429773779,1,0,NA,1,0,1
"2018","NGA","South East","Abia","10071",2226.93994140625,0,6,58,1,1,4,0,0,0,4583.59815049251,0.685279187817259,0,0,190.996519917738,45.6852791878173,0,0,0,4357.1081106234,1,0,0
"2018","NGA","South East","Abia","10072",2226.93994140625,0,8,47,1,1,3,1,0,0,2877.99922762712,0.685279187817259,0,0,190.996519917738,45.6852791878173,0,0,0,4357.1081106234,1,0,1
"2018","NGA","South East","Abia","10073",2226.93994140625,0,2,55,0,1,3,0,0,0,822.411583494429,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10074",2226.93994140625,0,5,69,0,0,5,1,0,0,2654.88391778657,0,0,0,0,0,190.996519917738,0,0,0,0,0,1
"2018","NGA","South East","Abia","10075",2226.93994140625,0,2,74,0,0,3,1,0,0,1795.04895969354,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10076",2226.93994140625,0,2,NA,1,1,1,0,0,0,1012.28155556401,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10077",2226.93994140625,0,1,39,1,1,1,0,0,0,1693.70712210027,0,0,1.62830769230769,0,0,76.3986079670952,0,0,580.94774808312,1,0,0
"2018","NGA","South East","Abia","10078",2226.93994140625,0,1,72,0,0,2,0,0,0,4188.40988610288,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10079",2226.93994140625,0,2,73,1,1,4,1,0,0,2953.2842493156,0,0,0,0,0,381.993039835476,0,0,0,0,0,1
"2018","NGA","South East","Abia","10080",2226.93994140625,0,6,70,1,1,2,1,0,0,3239.43938064639,0,0,0,0,0,143.247389938303,0,0,0,0,0,1
"2018","NGA","South East","Abia","10091",1866.33715820312,0,2,73,0,0,5,1,0,1,2581.36113349909,0,NA,NA,0,0,0,0,0,1742.84324424936,1,0,1
"2018","NGA","South East","Abia","10092",1866.33715820312,0,2,66,0,1,3,0,0,0,1554.39334459719,0,1.8,0,0,0,238.745649897172,0,0,1742.84324424936,1,0,1
"2018","NGA","South South","Akwa Ibom","10093",1866.33715820312,0,5,75,1,1,5,1,0,0,5273.35885936688,0,0,0,0,0,0,1,0,3776.16036254028,1,0,1
"2018","NGA","South East","Abia","10094",1866.33715820312,0,7,51,1,1,2,0,0,0,1721.83362705841,0,1.8,0,0,0,143.247389938303,0,0,0,0,0,1
"2018","NGA","South East","Abia","10096",1866.33715820312,0,2,71,0,0,4,0,0,0,3093.09452435431,0,1.8,0,0,0,238.745649897172,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10097",1866.33715820312,0,5,93,1,1,4,1,0,0,1594.41012661314,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10098",1866.33715820312,0,1,35,1,1,1,0,0,0,2386.91763337946,0,1.8,0,0,0,0,0,0,2323.79099233248,1,0,1
"2018","NGA","South East","Abia","10099",1866.33715820312,0,1,91,0,0,1,0,0,0,521.841513846321,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10100",1866.33715820312,0,2,76,1,0,3,0,0,0,2260.11864043208,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10102",5453.29833984375,0,1,70,0,0,1,0,0,0,1988.69821414686,0,0,0,0,0,0,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10103",5453.29833984375,0,7,NA,1,1,3,1,0,0,3108.26767592116,0,0,0,0,0,286.494779876607,0,0,1161.89549616624,1,0,1
"2018","NGA","South East","Abia","10104",5453.29833984375,0,2,88,0,0,2,0,0,0,1038.3844132861,0.513959390862944,0,0,143.247389938303,34.2639593908629,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10105",5453.29833984375,0,4,42,0,1,1,1,0,0,3324.29442916823,0,1.8,0,0,0,114.597911950643,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10106",5453.29833984375,0,6,65,0,1,3,1,0,0,5754.17457234899,1.02791878172589,0,0,286.494779876607,68.5279187817259,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10107",5453.29833984375,0,6,85,1,1,7,1,0,1,6665.870993169,0,0,0,0,0,286.494779876607,0,0,0,0,0,1
"2018","NGA","South East","Abia","10108",5453.29833984375,0,3,55,1,1,3,1,0,0,2292.27656654605,0.411167512690355,0,0,114.597911950643,27.4111675126904,0,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","10109",5453.29833984375,0,6,85,1,1,6,0,0,0,2260.76214100628,0,0,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","10110",5453.29833984375,0,4,68,0,1,4,0,0,0,1593.86595871352,0.513959390862944,0,0,143.247389938303,34.2639593908629,0,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","19001",3688.921875,1,3,50,0,1,1,1,0,0,4742.34244245718,0,2.16,0,0,0,0,0,0,4357.1081106234,1,0,1
"2018","NGA","South East","Abia","19002",3688.921875,1,4,41,1,1,3,1,0,1,4876.70508169314,0,2.7,1.35692307692308,0,0,143.247389938303,0,0,0,0,0,1
"2018","NGA","South East","Abia","19005",3688.921875,1,5,48,1,1,4,1,0,1,5466.08870270067,0,2.7,NA,0,0,114.597911950643,0,0,1742.84324424936,1,0,1
"2018","NGA","South East","Abia","19006",3688.921875,1,4,40,1,1,1,1,0,1,3226.82470266682,0,1.485,0,0,0,0,0,0,1742.84324424936,1,0,1
"2018","NGA","South East","Abia","19007",3688.921875,1,1,33,1,1,1,1,0,0,2146.83206773247,0,0.72,0,0,0,0,0,0,1742.84324424936,1,0,1
"2018","NGA","South East","Abia","19008",3688.921875,1,2,47,1,1,3,1,0,1,2852.25392859884,0,3.6,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","19009",3688.921875,1,4,50,0,1,1,0,0,0,7649.09689617531,0,3.6,0,0,0,0,0,0,NA,1,0,1
"2018","NGA","South East","Abia","19010",3688.921875,1,3,37,0,1,1,1,0,0,5309.34672464167,0,2.7,0,0,0,0,0,0,4357.1081106234,1,0,1
"2018","NGA","South East","Abia","19012",3688.921875,1,3,23,1,1,1,1,0,1,4565.96403961604,0,4.23,0,0,0,0,0,0,0,0,0,1
"2018","NGA","South East","Abia","19014",5176.703125,1,2,60,0,1,6,1,0,1,4646.4441498034,0,5.4,NA,0,0,381.993039835476,0,1,2323.79099233248,1,0,1
"2018","NGA","South East","Abia","19015",5176.703125,1,6,36,1,1,1,1,0,0,4984.05418725337,0,2.16,0,0,0,0,0,0,1452.3693702078,1,0,1
"2018","NGA","South East","Abia","19017",5176.703125,1,7,40,1,1,1,1,0,0,3338.62820655803,0,0,0,0,0,381.993039835476,1,0,0,0,0,1
"2018","NGA","South East","Abia","19018",5176.703125,1,5,55,0,1,1,0,0,0,2470.22165760274,0,0,0,0,0,0,0,0,4357.1081106234,1,0,1
"2018","NGA","South East","Abia","19019",5176.703125,1,2,30,1,1,1,1,0,0,4775.86798054304,0,0,0,0,0,0,0,0,3485.68648849872,1,0,1
"2018","NGA","South East","Abia","19020",5176.703125,1,5,59,1,1,2,1,0,0,2603.2189851456,0,2.7,0,0,0,0,0,0,0,0,0,1
