"year","country","admin1","admin2","hhid","hhweight","urban","hhsize","head_age","head_male","head_literate","nrooms","tv","music","fridge","exp","totbiom_cons","elec_cons","gas_cons","frwd_exp","frwd_cons","petrol_exp","scooter","car","publictransport_exp","publictransport","washmach","elec_any"
"2019","UGA","KOLE","KOLE","0007d1f1449242feb5a25429644fb991",2621.86374708019,0,6,51,0,0,3,0,1,0,9206.56323068763,21.6,0,0,139.647118378475,21.6,0,0,NA,74.4784631351865,1,0,1
"2019","UGA","KOLE","KOLE","0010cbae3cea4ec9831f6cd92b02dc16",1747.90906539893,0,4,54,1,1,3,0,1,0,4839.36559791203,43.2,0,0,279.294236756949,43.2,0,0,NA,0,0,0,1
"2019","UGA","ALEBTONG","MOROTO","00246782f8654441a9df0f6ec0b6fc9f",753.134571061014,0,6,36,1,1,2,0,1,0,3680.90962767783,25.7142857142857,0,0,0,0,0,0,NA,65.1686552432882,1,0,1
"2019","UGA","NAMISINDWA","BUBULO","003ed8d32f794609919d60d2ed8813e8",888.204769776538,0,4,NA,0,0,2,0,0,0,2299.41448902871,31.1821125192042,0,0,153.611830216322,23.76,0,0,NA,0,0,0,0
"2019","UGA","WAKISO","BUSIRO","005fbc5779014a0290b088071bde9f72",3905.07534053791,1,1,64,0,0,1,0,0,0,4000.59623927052,25.7142857142857,NA,0,0,0,0,0,NA,0,0,0,1
"2019","UGA","KASSANDA","KASSANDA","0060071f3f414406af7312d68eae8513",2525.37602764623,0,4,59,0,0,3,0,0,0,1391.4837866998,30.7600779154769,0,0,139.647118378475,21.6,0,0,NA,55.8588473513899,1,0,0
"2019","UGA","WAKISO","BUSIRO","007341c9c07448a580714ee6a46d427f",976.268770332719,1,3,30,1,1,1,0,1,0,4420.33003638722,0,0,0,0,0,0,0,NA,0,0,0,0
"2019","UGA","NAPAK","BOKORA","008c674975f24ea79f50e30cbd4ee635",2621.86374708019,0,5,63,0,0,3,0,0,0,1566.07039243448,32.3519178115821,0,0,111.71769470278,17.28,0,0,NA,0,0,0,0
"2019","UGA","ISINGIRO","ISINGIRO","009c1baa0edb44f8af47773ce0b7caaa",1138.58545479852,0,3,50,0,1,2,0,1,0,4950.91704604531,28.0307331520929,0,0,148.956926270373,23.04,0,0,NA,0,0,0,1
"2019","UGA","LUWERO","BAMUNANIKA","00b48fb6bcf84dd581bd7b2be5f908a0",2020.30078859163,0,1,66,0,1,1,0,0,0,3457.96189487613,14.4,0,0,93.0980789189831,14.4,0,0,NA,139.647118378475,1,0,1
"2019","UGA","KAMPALA","KCCA","00b4bea2a97641f88ae09439328edd9a",3806.33800751256,1,3,46,1,1,1,1,1,1,13626.4554844418,NA,1.78779417314532,0,0,0,0,0,NA,558.588473513899,1,0,1
"2019","UGA","LYANTONDE","KABULA","00c2b27287a74f948fef24a8de42825c",2603.3837331633,1,6,35,0,1,1,0,0,0,5225.14076243256,25.7142857142857,0,0,0,0,0,0,NA,93.0980789189831,1,0,0
"2019","UGA","KOLE","KOLE","00cb487f12014891b3efa5c8679d18ab",5243.72749416039,0,4,58,1,0,3,0,0,0,5919.97384120254,86.4,0,0,558.588473513899,86.4,0,1,NA,74.4784631351865,1,0,0
"2019","UGA","KOLE","KOLE","00d5da8bbd544c548a71f176496ee4b6",1310.9318735401,0,6,51,1,1,2,0,0,0,4796.57993746179,89.28,0,0,577.208089297695,89.28,0,0,NA,0,0,0,0
"2019","UGA","BUSIA","SAMIA-BUGWE","00dc3a212a1f40698656b2dc7cc97a85",888.204830606281,0,NA,39,1,1,NA,0,0,0,6986.43450142876,43.2,0,0,279.294236756949,43.2,0,0,NA,83.7882710270848,1,0,0
"2019","UGA","NTUNGAMO","KAJARA","0142f6f0c8f9435c97ac2563a6f390ec",3036.22767741671,0,7,43,1,1,3,0,1,0,9370.68738564855,34.56,0,0,223.43538940556,34.56,0,0,NA,0,0,0,1
"2019","UGA","MOYO","OBONGI","014cbd0c0b844976888438f7ea74aa69",582.636367548126,0,1,30,1,1,1,0,0,0,3145.16343281298,0,0,0,0,0,0,0,NA,0,0,0,0
"2019","UGA","KOBOKO","KOBOKO","0182fc7b5eb44c44aef16c3a178fb762",524.372749416039,0,2,64,0,1,3,0,1,0,3788.19408052732,20.8967689161781,0,0,111.71769470278,17.28,0,0,NA,0,0,0,0
"2019","UGA","AMUDAT","POKOT","018d29620fa44db282c80b6627413e5c",327.732968385024,0,7,35,0,0,1,0,0,0,4707.93660161908,34.56,0,0,223.43538940556,34.56,0,0,NA,0,0,0,0
"2019","UGA","BULAMBULI","BULAMBULI","0192cb54d502450ca603738439bf616f",1480.34102685521,0,7,52,1,1,3,0,1,0,8190.35890842071,43.2,0,0,279.294236756949,43.2,0,0,NA,0,0,0,1
"2019","UGA","APAC","MARUZI","0197cec68e9246a887cae30b13bc7488",1747.90921438073,0,1,36,1,1,1,0,0,0,1276.91773410629,0,0,0,0,0,0,0,NA,0,0,0,0
"2019","UGA","NTUNGAMO","RUSHENYI","019f06d347d04d5fa22f1846aba0c59b",1821.73654583623,0,NA,41,0,1,3,0,1,0,5920.74965852686,28.8,0,0,186.196157837966,28.8,0,0,NA,0,0,0,0
"2019","UGA","KYENJOJO","MWENGE","01d0f651c2534a1f8355b9e10e0e9dcb",1012.07581670499,0,1,45,1,0,2,0,1,0,2264.68558066054,11.511265097067,0,0,37.2392315675933,5.76,0,0,NA,0,0,0,1
"2019","UGA","SSEMBABULE","LWEMIYAGA","01d54a65224747fba33cf7b310c7435e",1683.58385080404,0,8,46,1,0,3,0,1,0,17974.6123434576,37.259294187152,0,0,186.196157837966,28.8,297.913852540746,1,NA,279.294236756949,1,0,1
"2019","UGA","KYOTERA","KAKUUTO","01e7608a258e42c7a2f5af8b551bc247",1262.68801382311,0,5,47,0,1,3,0,1,0,3151.65813212804,46.08,0,0,297.913852540746,46.08,0,0,NA,0,0,0,0
"2019","UGA","LWENGO","BUKOTO","02087846085249d1ae73a1070233c8bb",1443.0719439578,0,4,36,0,0,1,0,0,0,3524.58797837869,23.04,0,0,148.956926270373,23.04,0,0,NA,74.4784631351865,1,0,1
"2019","UGA","OMORO","OMORO","0222b766ba3d494fbf6fe07cf260dac4",1048.74549883208,0,5,54,1,1,2,0,1,0,4058.31150664797,33.8000073909025,0,0,148.956926270373,23.04,0,0,NA,186.196157837966,1,0,1
"2019","UGA","KYEGEGWA","KYAKA","024172552bc54600b13887149d11e82c",9108.68303225013,0,3,26,0,0,1,0,0,0,2012.33714204309,28.8,0,0,186.196157837966,28.8,0,0,NA,0,0,0,0
"2019","UGA","MPIGI","MAWOKOTA","02449af9963842c8b8f615b2232735b1",1262.68793000973,0,6,53,0,1,2,1,1,0,8540.15554452568,57.6,0,0,372.392315675933,57.6,0,0,NA,0,0,0,1
"2019","UGA","IGANGA","KIGULU","024dec2ae5e84e15a9d92dc84c3b5084",2960.68240370914,0,6,44,1,1,2,0,0,0,5975.16770227594,36,0,0,232.745197297458,36,0,0,NA,111.71769470278,1,0,0
"2019","UGA","KOLE","KOLE","025b88ecba4a44279935bd4a0d19bccd",655.465862279146,0,5,61,0,0,3,0,1,0,7019.56190117743,35.5206097088807,0,0,55.8588473513899,8.64,0,0,NA,0,0,0,0
"2019","UGA","LUUKA","LUUKA","02868c7da57e46529281d2dae35ee7fd",8882.04769776538,0,4,39,1,1,1,0,1,0,4697.14719925865,32.2966537188907,0,0,74.4784631351865,11.52,0,0,NA,83.7882710270848,1,0,1
"2019","UGA","WAKISO","MAKINDYE SSABAGABO MUNICIPALITY","029532d2e0d640f888259f1851cfc929",7810.1511994899,1,4,32,1,1,1,1,1,0,3651.66131455078,25.7142857142857,1.2945345217507,0,0,0,0,0,NA,279.294236756949,1,0,1
"2019","UGA","PAKWACH","JONAM","02b20908f47043f0b2389ba8246c5bdc",1747.90906539893,0,5,52,0,0,2,0,0,0,5066.98485931662,57.6,0,0,372.392315675933,57.6,0,0,NA,0,0,0,0
"2019","UGA","KABAROLE","BURAHYA","02efd503602d4d10a508075b811e5913",1301.24054141752,0,5,40,1,1,2,0,1,0,5369.83069341915,14.4,0,0,93.0980789189831,14.4,0,0,NA,223.43538940556,1,0,0
"2019","UGA","KALUNGU","KALUNGU","02fbc725a3074d0fa9debb7a02ba23fb",1122.38926180716,0,6,36,1,1,2,0,1,0,3758.03141126804,57.6,0,0,372.392315675933,57.6,0,0,NA,0,0,0,0
"2019","UGA","OMORO","OMORO","03003a6f1ccd4b1290629662229b5d83",5243.72749416039,0,6,40,1,1,1,0,0,0,7220.23813521869,46.1142857142857,0,0,93.0980789189831,14.4,0,1,NA,186.196157837966,1,0,0
"2019","UGA","TORORO","TORORO","032de3aed1c34dd5840aba975a5a4468",1480.34132351406,0,4,47,0,0,2,0,0,0,2843.57553108632,43.2,0,0,279.294236756949,43.2,0,0,NA,0,0,0,0
"2019","UGA","APAC","KWANIA","034a672611304ed3a91b8a062f4d4046",1747.90921438073,0,3,45,0,0,2,0,1,0,5502.11863032117,28.8,0,0,186.196157837966,28.8,0,0,NA,325.843276216441,1,0,0
"2019","UGA","NAMAYINGO","BUKOOLI","0368af34cb614bae9ef98c927741984d",888.204769776538,0,NA,66,1,1,4,0,1,0,7680.44743045588,32.4,0,0,209.470677567712,32.4,0,0,NA,46.5490394594916,1,0,1
"2019","UGA","NTUNGAMO","RUHAAMA","0397ef293012436a99a621fce6fc7471",5190.22197522864,1,2,64,0,1,1,0,0,0,3398.48995541431,6,1.2626449881241,0,0,0,0,0,NA,121.027502594678,1,0,1
"2019","UGA","MPIGI","MAWOKOTA","039d3e634a2e4f2bb56e3798660eb6ba",10101.5041105849,0,1,32,1,1,1,0,0,0,2363.56072786958,17.28,0,0,111.71769470278,17.28,0,0,NA,0,0,0,0
"2019","UGA","MASAKA","BUKOTO","03b2600846004af6ba212269261907a2",5050.75205529246,0,6,57,0,1,3,1,1,0,4509.52686247531,33.4350719197901,0,0,111.71769470278,17.28,0,0,NA,93.0980789189831,1,0,1
"2019","UGA","KASESE","BUSONGORA","03d9ca9332d545378b468a1883127d8b",828.062093840921,0,6,36,1,1,2,0,1,0,4596.95593337441,33.4960315721014,0,0,148.956926270373,23.04,0,0,NA,23.2745197297458,1,0,1
"2019","UGA","KIBUKU","KIBUKU","040b3ad7eb264e30acc111646f03422a",8882.04769776538,0,7,31,0,1,2,0,1,0,4656.95986185862,30.448044260066,0,0,93.0980789189831,14.4,0,0,NA,0,0,0,0
"2019","UGA","KAMPALA","KCCA","040ceeba10fc44d19c9499e31e34fbfc",1522.53505690411,1,7,59,0,1,NA,1,1,1,19986.7610727219,51.4285714285714,1.96472533859535,0,0,0,0,0,NA,NA,1,0,1
"2019","UGA","MUKONO","MUKONO","041a9f28bf614e328a856c240a3abd03",10101.5034400778,0,1,30,1,1,1,0,1,0,1394.34322769517,0,0,0,0,0,0,0,NA,111.71769470278,1,0,0
"2019","UGA","MITYANA","MITYANA","044116a438c040a898ba43daf6bdc2ea",1443.0719439578,0,7,49,1,1,2,0,0,0,11567.5028043115,21.4285714285714,0,0,0,0,837.882710270848,1,NA,0,0,0,1
"2019","UGA","MBARARA","KASHARI","0442775d8d424d59a433ab5940d510ca",1301.24038988302,0,5,NA,1,1,2,0,1,0,5682.42411804658,34.7436803504713,0,0,186.196157837966,28.8,0,0,NA,139.647118378475,1,0,1
"2019","UGA","OYAM","OYAM","046067ad635647c5a02c03f1790df520",873.954532699463,0,10,54,1,1,4,0,0,0,7788.47999286811,28.8,0,0,186.196157837966,28.8,0,1,NA,93.0980789189831,1,0,1
"2019","UGA","NAKAPIRIPIRIT","CHEKWII","0464b7af72994dea923644331716d84e",3765.67242735244,1,9,67,1,1,3,0,0,0,3050.97920963994,21.2375192546656,0,0,93.0980789189831,14.4,0,0,NA,0,0,0,1
"2019","UGA","KAYUNGA","NTENJERU","0469f55ab1f549dabf8e97afae3f2065",10101.5041105849,0,4,34,1,1,1,0,0,0,3469.98152185085,2.57142857142857,0,0,0,0,0,0,NA,307.223660432644,1,0,0
"2019","UGA","BUDUDA","MANJIYA","0495834806fb40adb50e0fd619ef5094",8882.04769776538,0,9,75,1,1,4,0,0,0,7545.61037948822,86.4,0,0,558.588473513899,86.4,0,0,NA,242.055005189356,1,0,1
"2019","UGA","KUMI","KUMI MUNICIPALITY","049dc3291e444c9193fc506570f6a26e",16057.3993981821,1,5,33,1,1,2,1,1,1,NA,NA,NA,0,0,0,0,0,NA,0,0,0,1
"2019","UGA","ARUA","AYIVU","04ae6a51ffbb459a9b00dc5265f4a034",7531.34485470489,0,4,21,0,1,1,0,0,0,3491.64344985646,23.04,0,0,148.956926270373,23.04,0,0,NA,0,0,0,0
"2019","UGA","KYEGEGWA","KYAKA","04b011de772e4ce08e33e461bb1741eb",910.868272918113,0,NA,64,0,1,4,0,1,0,NA,120.96,0,0,782.023862919458,120.96,0,0,NA,0,0,0,1
"2019","UGA","KYENJOJO","MWENGE","04bfccbfe0c64dfebc28097777937f16",1012.07581670499,0,1,52,1,0,1,0,0,0,819.252011382418,11.3432944077678,0,0,37.2392315675933,5.76,0,0,NA,0,0,0,0
"2019","UGA","JINJA","KAGOMA","04c814d7b9cb4aa2b651aa2e31acf4e9",888.204769776538,1,10,50,0,1,4,0,1,0,12415.3104347813,37.44,0,0,242.055005189356,37.44,0,0,NA,93.0980789189831,1,0,1
"2019","UGA","NAMISINDWA","BUBULO","04d55903a5d448c3953d1d1ceda1084d",888.204769776538,0,5,71,0,0,2,0,1,0,NA,44.4302355606188,0,0,46.5490394594916,7.2,0,0,NA,0,0,0,1
"2019","UGA","MAYUGE","BUNYA","04ee28189feb42c6a75acb852661aef1",986.894154846295,0,4,57,0,0,NA,0,0,0,5745.30411218311,46.08,0,0,297.913852540746,46.08,0,0,NA,465.490394594916,1,0,0
"2019","UGA","IBANDA","IBANDA","0515ceaa3b6d4400bb337565e78db4e4",1038.04436050736,1,11,54,1,1,3,0,1,0,10863.8364911488,46.08,NA,0,297.913852540746,46.08,232.745197297458,1,NA,0,0,0,1
