"year","country","admin1","admin2","hhid","hhweight","urban","hhsize","head_age","head_male","head_literate","nrooms","tv","music","fridge","exp","totbiom_cons","elec_cons","gas_cons","frwd_exp","frwd_cons","petrol_exp","scooter","car","publictransport_exp","publictransport","washmach","elec_any"
"2005","GHA","Western","Coastal","500102",637.798034667969,1,6,46,1,0,NA,1,1,1,NA,0,NA,NA,0,0,0,0,1,0,0,0,1
"2005","GHA","Western","Coastal","500103",637.798034667969,1,1,23,1,1,1,0,1,0,3345.59295901789,0,0.80317667238422,0,0,0,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500104",637.798034667969,1,3,33,1,1,1,0,0,0,9161.19717202615,18.7569444444444,0.80317667238422,0,0,0,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500105",637.798034667969,1,4,41,1,1,2,1,1,1,8049.86241966683,12.1666666666667,1.02547512864494,NA,0,0,0,0,0,106.21398118424,1,0,1
"2005","GHA","Western","Coastal","500106",637.798034667969,1,5,57,1,0,1,0,1,0,9305.27012286314,17.3375634914678,6.43816502946955,0,0,0,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500108",637.798034667969,1,4,53,0,0,2,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"2005","GHA","Western","Coastal","500109",637.798034667969,1,3,52,0,0,1,0,0,0,5949.33090358768,0,0,0,0,0,0,0,0,0,0,0,0
"2005","GHA","Western","Coastal","500110",637.798034667969,1,2,27,0,0,1,1,1,1,5285.27306170085,8.99932485143723,0.729077186963979,0,0,0,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500111",637.798034667969,1,6,50,1,1,2,1,1,0,10249.5907520396,18.2666590458311,1.1336463654224,0,0,0,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500112",637.798034667969,1,7,39,1,1,2,1,1,1,NA,0,4.1041768172888,NA,0,0,0,0,0,NA,1,0,1
"2005","GHA","Western","Coastal","500114",637.798034667969,1,1,23,1,1,1,0,0,0,4118.07478949033,0.506944444444445,0.80317667238422,0,0,0,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500115",637.798034667969,1,4,28,0,0,1,0,1,0,5628.07854047438,14.9548611111111,1.1336463654224,0,0,0,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500116",637.798034667969,1,5,51,1,0,2,0,1,0,7498.05384107318,15.96875,0.506778730703259,0,0,0,0,0,0,141.618641578986,1,0,1
"2005","GHA","Western","Coastal","500118",637.798034667969,1,3,32,1,0,1,1,1,0,4578.99472579747,9.63194444444445,1.77018860510805,0,0,0,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500120",637.798034667969,1,4,72,1,1,3,1,1,1,11326.9825423834,24.3333333333333,2.95840078585462,0,141.618641578986,24.3333333333333,0,0,0,0,0,0,1
"2005","GHA","Western","Coastal","500201",481.292907714844,0,5,38,1,0,2,0,1,0,4592.98947995831,13.9613935878132,0,0,0,0,0,0,0,28.3237283157973,1,0,0
"2005","GHA","Western","Coastal","500202",481.292907714844,0,2,49,0,0,2,0,0,0,3468.61039942157,8.8054053528415,0,0,0,0,0,0,0,0,0,0,0
"2005","GHA","Western","Coastal","500203",481.292907714844,0,7,36,1,1,NA,0,1,0,6463.14863259358,13.5971406882793,0,0,0,0,0,0,0,0,0,0,0
"2005","GHA","Western","Coastal","500204",481.292907714844,0,9,51,1,0,3,0,1,0,9062.23973003642,11.1437207554002,0,0,0,0,0,0,0,28.3237283157973,1,0,0
"2005","GHA","Western","Coastal","500205",481.292907714844,0,4,26,1,1,1,0,1,0,7072.27400019852,15.5962601341189,0,0,0,0,0,0,0,177.023301973733,1,0,0
