"year","country","admin1","admin2","hhid","hhweight","urban","hhsize","head_age","head_male","head_literate","nrooms","tv","music","fridge","exp","totbiom_cons","elec_cons","gas_cons","frwd_exp","frwd_cons","petrol_exp","scooter","car","publictransport_exp","publictransport","washmach","elec_any"
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100101",282.1424,1,5,41,1,1,1,1,1,0,NA,21.6,3.05723076923077,0,259.499474792799,21.6,NA,1,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100102",282.1424,1,4,62,1,1,1,1,0,0,15679.8953484177,23.8639142986197,2.79138461538462,0,259.499474792799,21.6,NA,1,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100103",282.1424,1,5,50,1,1,1,1,1,0,9013.64217374043,24.5983825049955,0.930461538461538,0,259.499474792799,21.6,NA,1,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100104",282.1424,1,4,50,0,1,1,1,1,0,9890.17373304055,23.3562022982402,1.32923076923077,0,259.499474792799,21.6,NA,1,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100105",282.1424,1,7,53,1,1,1,1,1,0,13231.9503028723,27.6,0.664615384615385,0,259.499474792799,21.6,NA,1,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100106",282.1424,1,5,42,1,1,1,1,1,1,15529.6019026002,NA,9.30461538461538,0,0,0,NA,0,1,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100107",282.1424,1,3,61,0,1,1,1,1,0,5879.10476780574,14.64,3.98769230769231,0,103.79978991712,8.64,NA,0,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100108",282.1424,1,2,59,0,1,1,1,0,0,6829.16117829716,14.4,1.99384615384615,0,172.999649861866,14.4,NA,0,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100109",282.1424,1,6,40,1,1,1,1,0,0,11557.6020249592,21.6,3.65538461538462,0,259.499474792799,21.6,NA,1,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100110",282.1424,1,2,77,1,1,2,0,1,0,4905.83757095786,4.8,0.996923076923077,0,0,0,NA,0,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100111",282.1424,1,4,39,1,1,1,1,1,0,19013.7427676307,24.1562658924637,NA,0,129.749737396399,10.8,NA,1,0,NA,NA,0,1
"2014","KHM","Banteay Meanchey","Mongkol Borei","0100112",282.1424,1,5,45,1,1,1,1,1,0,10918.0799859698,6.9,1.99384615384615,0,0,0,NA,1,0,NA,NA,0,1
