"year","country","admin1","admin2","hhid","hhweight","urban","hhsize","head_age","head_male","head_literate","nrooms","tv","music","fridge","exp","totbiom_cons","elec_cons","gas_cons","frwd_exp","frwd_cons","petrol_exp","scooter","car","publictransport_exp","publictransport","washmach","elec_any"
"2018","ARM","1",NA,"1",254.351851851852,1,3,66,0,1,4,1,0,1,7.83620301120412,0,1.044,0,0,0,NA,0,1,NA,NA,1,1
"2018","ARM","1",NA,"2",254.351851851852,1,8,57,1,1,4,1,0,1,3.63573055390129,0,0.7245,0,0,0,0,0,1,NA,NA,1,1
"2018","ARM","1",NA,"3",254.351851851852,1,4,70,1,1,4,1,0,1,6.91399730159283,0,0.648,0,0,0,0,0,0,NA,NA,1,1
"2018","ARM","1",NA,"4",254.351851851852,1,NA,58,1,1,3,1,0,1,NA,0,NA,0,0,0,1.77168226231317,0,1,NA,NA,1,1
"2018","ARM","1",NA,"5",254.351851851852,1,4,56,1,1,4,1,0,1,NA,0,1.26,0,0,0,0,0,0,NA,NA,1,1
"2018","ARM","1",NA,"6",254.351851851852,1,2,49,1,1,4,1,0,1,3.89537364406787,0,0.8838,0,0,0,0,0,0,NA,NA,1,1
"2018","ARM","1",NA,"7",254.351851851852,1,4,41,1,1,4,1,0,1,7.39800984082494,0,0.855,0,0,0,0,0,1,NA,NA,1,1
"2018","ARM","1",NA,"8",254.351851851852,1,3,72,0,1,3,1,0,1,6.15325032032043,0,0.6525,0,0,0,0,0,1,NA,NA,1,1
"2018","ARM","1",NA,"9",254.351851851852,1,3,32,1,1,1,1,0,1,11.7559409228366,0,0.819,0,0,0,3.54336452462634,0,1,NA,NA,1,1
"2018","ARM","1",NA,"10",118.388888888889,1,2,64,1,1,4,1,1,1,7.61074262478496,0,0.7074,0,0,0,0,0,0,NA,NA,1,1
"2018","ARM","1",NA,"11",118.388888888889,1,2,64,1,1,3,1,0,1,7.13218477232106,0,0.6075,0,0,0,0,0,0,NA,NA,1,1
"2018","ARM","1",NA,"12",118.388888888889,1,4,39,1,1,3,1,0,1,12.9377897226145,0,1.08,0,0,0,8.85841131156585,0,1,NA,NA,1,1
"2018","ARM","1",NA,"13",118.388888888889,1,2,69,1,1,3,1,0,1,NA,0,0.6876,0,0,0,0,0,0,NA,NA,1,1
"2018","ARM","1",NA,"14",118.388888888889,1,5,49,1,1,3,1,1,1,14.3083706845723,0,0.702,0,0,0,0,0,0,NA,NA,1,1
"2018","ARM","1",NA,"15",118.388888888889,1,5,41,1,1,2,1,0,1,10.4228154766872,0,0.9,0,0,0,2.1260187147758,0,1,NA,NA,1,1
"2018","ARM","1",NA,"16",118.388888888889,1,3,75,1,1,3,1,0,1,2.60443110892589,0,NA,0,0,0,0,0,0,NA,NA,1,1
"2018","ARM","1",NA,"17",118.388888888889,1,7,63,1,1,2,1,0,1,10.7060955428493,0,1.1745,0,0,0,0.885841131156585,0,1,NA,NA,1,1
