"year","country","admin1","admin2","hhid","hhweight","urban","hhsize","head_age","head_male","head_literate","nrooms","tv","music","fridge","exp","totbiom_cons","elec_cons","gas_cons","frwd_exp","frwd_cons","petrol_exp","scooter","car","publictransport_exp","publictransport","washmach","elec_any"
"2020","VNM","Ha Noi","1","0100100001037013",5274,1,4,49,1,NA,NA,1,1,1,NA,0,22.3344,0,0,0,4196.95587817153,0,1,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100001037015",5274,1,5,62,1,NA,NA,1,0,1,25552.8161179242,0,15.2496,2.91724137931035,0,0,839.391175634306,1,0,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100001037019",5274,1,5,71,1,NA,NA,1,0,1,21850.0517944073,0,14.0832,3.11172413793103,0,0,419.695587817153,1,0,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100008007013",5274,1,5,63,1,NA,NA,1,0,1,NA,0,NA,0,0,0,1119.18823417907,1,0,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100008007014",5274,1,3,33,1,NA,NA,1,0,1,15654.4122613643,0,12.528,1.55586206896552,0,0,1398.98529272384,1,0,NA,NA,0,1
"2020","VNM","Ha Noi","1","0100100008007015",5274,1,5,80,1,NA,NA,1,1,1,34027.1695285988,0,14.5584,3.11172413793103,0,0,489.644852453345,1,0,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100019009013",5274,1,2,68,0,NA,NA,1,0,1,15381.4935471755,0,20.736,2.91724137931035,0,0,419.695587817153,1,0,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100019009015",5274,1,6,73,0,NA,NA,1,0,1,33775.0024295854,0,NA,0.972413793103448,0,0,139.898529272384,1,0,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100019009019",5274,1,3,37,1,NA,NA,1,0,1,21520.3575937554,0,20.3472,0,0,0,1398.98529272384,1,0,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100031003013",5274,1,5,51,0,NA,NA,1,0,1,43015.5334522418,0,15.0768,0,0,0,3917.15881962676,1,1,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100031003015",5274,1,3,59,1,NA,NA,1,0,1,35803.4145219272,0,22.7232,NA,0,0,2098.47793908576,1,1,NA,NA,1,1
"2020","VNM","Ha Noi","1","0100100031003019",5274,1,4,41,0,NA,NA,1,1,1,NA,0,18.6192,0,0,0,NA,1,1,NA,NA,1,1
