"","year","country","region","variable","value","hc_key"
"1",2011,"IND","Andhra Pradesh","elec_cons",667,"in-ap"
"2",2011,"IND","Arunachal Pradesh","elec_cons",854,"in-ar"
"3",2011,"IND","Assam","elec_cons",415,"in-as"
"4",2011,"IND","Bihar","elec_cons",473,"in-br"
"5",2011,"IND","Chandigarh","elec_cons",2681,"in-ch"
"6",2011,"IND","Chhattisgarh","elec_cons",408,"in-ct"
"7",2011,"IND","Dadra and Nagar Haveli","elec_cons",999,"in-dn"
"8",2011,"IND","Daman and Diu","elec_cons",733,"in-dd"
"9",2011,"IND","Delhi","elec_cons",1990,"in-dl"
"10",2011,"IND","Goa","elec_cons",2427,"in-ga"
"11",2011,"IND","Gujarat","elec_cons",1136,"in-gj"
"12",2011,"IND","Haryana","elec_cons",812,"in-hr"
"13",2011,"IND","Himachal Pradesh","elec_cons",1312,"in-hp"
"14",2011,"IND","Jammu and Kashmir","elec_cons",1359,"in-jk"
"15",2011,"IND","Jharkhand","elec_cons",394,"in-jh"
"16",2011,"IND","Karnataka","elec_cons",332,"in-ka"
"17",2011,"IND","Kerala","elec_cons",1025,"in-kl"
"18",2011,"IND","Madhya Pradesh","elec_cons",618,"in-mp"
"19",2011,"IND","Maharashtra","elec_cons",808,"in-mh"
"20",2011,"IND","Manipur","elec_cons",809,"in-mn"
"21",2011,"IND","Meghalaya","elec_cons",860,"in-ml"
"22",2011,"IND","Mizoram","elec_cons",812,"in-mz"
"23",2011,"IND","Nagaland","elec_cons",976,"in-nl"
"24",2011,"IND","Orissa","elec_cons",879,"in-or"
"25",2011,"IND","Pondicherry","elec_cons",1956,"in-py"
"26",2011,"IND","Punjab","elec_cons",1134,"in-pb"
"27",2011,"IND","Rajasthan","elec_cons",769,"in-rj"
"28",2011,"IND","Sikkim","elec_cons",1950,"in-sk"
"29",2011,"IND","Tamil Nadu","elec_cons",1278,"in-tn"
"30",2011,"IND","Tripura","elec_cons",783,"in-tr"
"31",2011,"IND","Uttar Pradesh","elec_cons",942,"in-up"
"32",2011,"IND","Uttaranchal","elec_cons",1180,"in-ut"
"33",2011,"IND","West Bengal","elec_cons",989,"in-wb"
"34",2011,"IND","Andhra Pradesh","gas_cons",692,"in-ap"
"35",2011,"IND","Arunachal Pradesh","gas_cons",1082,"in-ar"
"36",2011,"IND","Assam","gas_cons",938,"in-as"
"37",2011,"IND","Bihar","gas_cons",292,"in-br"
"38",2011,"IND","Chandigarh","gas_cons",1683,"in-ch"
"39",2011,"IND","Chhattisgarh","gas_cons",624,"in-ct"
"40",2011,"IND","Dadra and Nagar Haveli","gas_cons",462,"in-dn"
"41",2011,"IND","Daman and Diu","gas_cons",1016,"in-dd"
"42",2011,"IND","Delhi","gas_cons",1568,"in-dl"
"43",2011,"IND","Goa","gas_cons",2088,"in-ga"
"44",2011,"IND","Gujarat","gas_cons",1086,"in-gj"
"45",2011,"IND","Haryana","gas_cons",851,"in-hr"
"46",2011,"IND","Himachal Pradesh","gas_cons",791,"in-hp"
"47",2011,"IND","Jammu and Kashmir","gas_cons",1131,"in-jk"
"48",2011,"IND","Jharkhand","gas_cons",741,"in-jh"
"49",2011,"IND","Karnataka","gas_cons",1150,"in-ka"
"50",2011,"IND","Kerala","gas_cons",636,"in-kl"
"51",2011,"IND","Madhya Pradesh","gas_cons",610,"in-mp"
"52",2011,"IND","Maharashtra","gas_cons",1142,"in-mh"
"53",2011,"IND","Manipur","gas_cons",1748,"in-mn"
"54",2011,"IND","Meghalaya","gas_cons",440,"in-ml"
"55",2011,"IND","Mizoram","gas_cons",1561,"in-mz"
"56",2011,"IND","Nagaland","gas_cons",2978,"in-nl"
"57",2011,"IND","Orissa","gas_cons",493,"in-or"
"58",2011,"IND","Pondicherry","gas_cons",1554,"in-py"
"59",2011,"IND","Punjab","gas_cons",1271,"in-pb"
"60",2011,"IND","Rajasthan","gas_cons",888,"in-rj"
"61",2011,"IND","Sikkim","gas_cons",1990,"in-sk"
"62",2011,"IND","Tamil Nadu","gas_cons",663,"in-tn"
"63",2011,"IND","Tripura","gas_cons",843,"in-tr"
"64",2011,"IND","Uttar Pradesh","gas_cons",1273,"in-up"
"65",2011,"IND","Uttaranchal","gas_cons",730,"in-ut"
"66",2011,"IND","West Bengal","gas_cons",688,"in-wb"
"67",2011,"IND","Andhra Pradesh","totbiom_cons",1520,"in-ap"
"68",2011,"IND","Arunachal Pradesh","totbiom_cons",186,"in-ar"
"69",2011,"IND","Assam","totbiom_cons",1123,"in-as"
"70",2011,"IND","Bihar","totbiom_cons",993,"in-br"
"71",2011,"IND","Chandigarh","totbiom_cons",370,"in-ch"
"72",2011,"IND","Chhattisgarh","totbiom_cons",1305,"in-ct"
"73",2011,"IND","Dadra and Nagar Haveli","totbiom_cons",344,"in-dn"
"74",2011,"IND","Daman and Diu","totbiom_cons",1080,"in-dd"
"75",2011,"IND","Delhi","totbiom_cons",552,"in-dl"
"76",2011,"IND","Goa","totbiom_cons",5,"in-ga"
"77",2011,"IND","Gujarat","totbiom_cons",517,"in-gj"
"78",2011,"IND","Haryana","totbiom_cons",1073,"in-hr"
"79",2011,"IND","Himachal Pradesh","totbiom_cons",1583,"in-hp"
"80",2011,"IND","Jammu and Kashmir","totbiom_cons",1259,"in-jk"
"81",2011,"IND","Jharkhand","totbiom_cons",1691,"in-jh"
"82",2011,"IND","Karnataka","totbiom_cons",2521,"in-ka"
"83",2011,"IND","Kerala","totbiom_cons",2702,"in-kl"
"84",2011,"IND","Madhya Pradesh","totbiom_cons",1703,"in-mp"
"85",2011,"IND","Maharashtra","totbiom_cons",1290,"in-mh"
"86",2011,"IND","Manipur","totbiom_cons",249,"in-mn"
"87",2011,"IND","Meghalaya","totbiom_cons",1468,"in-ml"
"88",2011,"IND","Mizoram","totbiom_cons",994,"in-mz"
"89",2011,"IND","Nagaland","totbiom_cons",574,"in-nl"
"90",2011,"IND","Orissa","totbiom_cons",1634,"in-or"
"91",2011,"IND","Pondicherry","totbiom_cons",647,"in-py"
"92",2011,"IND","Punjab","totbiom_cons",870,"in-pb"
"93",2011,"IND","Rajasthan","totbiom_cons",1561,"in-rj"
"94",2011,"IND","Sikkim","totbiom_cons",674,"in-sk"
"95",2011,"IND","Tamil Nadu","totbiom_cons",754,"in-tn"
"96",2011,"IND","Tripura","totbiom_cons",3514,"in-tr"
"97",2011,"IND","Uttar Pradesh","totbiom_cons",1238,"in-up"
"98",2011,"IND","Uttaranchal","totbiom_cons",606,"in-ut"
"99",2011,"IND","West Bengal","totbiom_cons",1503,"in-wb"
"100",2014,"GTM","Alta Verapaz","elec_cons",337,"gt-av"
"101",2014,"GTM","Baja Verapaz","elec_cons",570,"gt-bv"
"102",2014,"GTM","Chimaltenango","elec_cons",580,"gt-cm"
"103",2014,"GTM","Chiquimula","elec_cons",633,"gt-cq"
"104",2014,"GTM","El Progreso","elec_cons",705,"gt-pr"
"105",2014,"GTM","Escuintla","elec_cons",1025,"gt-es"
"106",2014,"GTM","Guatemala","elec_cons",1255,NA
"107",2014,"GTM","Huehuetenango","elec_cons",532,"gt-hu"
"108",2014,"GTM","Izabal","elec_cons",1066,"gt-iz"
"109",2014,"GTM","Jalapa","elec_cons",609,"gt-ja"
"110",2014,"GTM","Jutiapa","elec_cons",1013,"gt-ju"
"111",2014,"GTM","Petén","elec_cons",820,"gt-pe"
"112",2014,"GTM","Quetzaltenango","elec_cons",1036,"gt-qz"
"113",2014,"GTM","Quiché","elec_cons",521,"gt-qc"
"114",2014,"GTM","Retalhuleu","elec_cons",695,"gt-re"
"115",2014,"GTM","Sacatepéquez","elec_cons",669,"gt-sa"
"116",2014,"GTM","San Marcos","elec_cons",626,"gt-sm"
"117",2014,"GTM","Santa Rosa","elec_cons",664,"gt-sr"
"118",2014,"GTM","Sololá","elec_cons",384,"gt-so"
"119",2014,"GTM","Suchitepéquez","elec_cons",730,"gt-su"
"120",2014,"GTM","Totonicapán","elec_cons",532,"gt-to"
"121",2014,"GTM","Zacapa","elec_cons",935,"gt-za"
"122",2014,"GTM","Alta Verapaz","gas_cons",346,"gt-av"
"123",2014,"GTM","Baja Verapaz","gas_cons",723,"gt-bv"
"124",2014,"GTM","Chimaltenango","gas_cons",529,"gt-cm"
"125",2014,"GTM","Chiquimula","gas_cons",283,"gt-cq"
"126",2014,"GTM","El Progreso","gas_cons",858,"gt-pr"
"127",2014,"GTM","Escuintla","gas_cons",817,"gt-es"
"128",2014,"GTM","Guatemala","gas_cons",1241,NA
"129",2014,"GTM","Huehuetenango","gas_cons",474,"gt-hu"
"130",2014,"GTM","Izabal","gas_cons",1225,"gt-iz"
"131",2014,"GTM","Jalapa","gas_cons",400,"gt-ja"
"132",2014,"GTM","Jutiapa","gas_cons",689,"gt-ju"
"133",2014,"GTM","Petén","gas_cons",473,"gt-pe"
"134",2014,"GTM","Quetzaltenango","gas_cons",865,"gt-qz"
"135",2014,"GTM","Quiché","gas_cons",269,"gt-qc"
"136",2014,"GTM","Retalhuleu","gas_cons",688,"gt-re"
"137",2014,"GTM","Sacatepéquez","gas_cons",1104,"gt-sa"
"138",2014,"GTM","San Marcos","gas_cons",258,"gt-sm"
"139",2014,"GTM","Santa Rosa","gas_cons",714,"gt-sr"
"140",2014,"GTM","Sololá","gas_cons",410,"gt-so"
"141",2014,"GTM","Suchitepéquez","gas_cons",661,"gt-su"
"142",2014,"GTM","Totonicapán","gas_cons",420,"gt-to"
"143",2014,"GTM","Zacapa","gas_cons",1045,"gt-za"
"144",2014,"GTM","Alta Verapaz","totbiom_cons",5015,"gt-av"
"145",2014,"GTM","Baja Verapaz","totbiom_cons",6933,"gt-bv"
"146",2014,"GTM","Chimaltenango","totbiom_cons",4078,"gt-cm"
"147",2014,"GTM","Chiquimula","totbiom_cons",4344,"gt-cq"
"148",2014,"GTM","El Progreso","totbiom_cons",4649,"gt-pr"
"149",2014,"GTM","Escuintla","totbiom_cons",5642,"gt-es"
"150",2014,"GTM","Guatemala","totbiom_cons",1443,NA
"151",2014,"GTM","Huehuetenango","totbiom_cons",7447,"gt-hu"
"152",2014,"GTM","Izabal","totbiom_cons",4992,"gt-iz"
"153",2014,"GTM","Jalapa","totbiom_cons",5965,"gt-ja"
"154",2014,"GTM","Jutiapa","totbiom_cons",4961,"gt-ju"
"155",2014,"GTM","Petén","totbiom_cons",4496,"gt-pe"
"156",2014,"GTM","Quetzaltenango","totbiom_cons",4766,"gt-qz"
"157",2014,"GTM","Quiché","totbiom_cons",5292,"gt-qc"
"158",2014,"GTM","Retalhuleu","totbiom_cons",5405,"gt-re"
"159",2014,"GTM","Sacatepéquez","totbiom_cons",3395,"gt-sa"
"160",2014,"GTM","San Marcos","totbiom_cons",3830,"gt-sm"
"161",2014,"GTM","Santa Rosa","totbiom_cons",4543,"gt-sr"
"162",2014,"GTM","Sololá","totbiom_cons",4154,"gt-so"
"163",2014,"GTM","Suchitepéquez","totbiom_cons",5556,"gt-su"
"164",2014,"GTM","Totonicapán","totbiom_cons",5535,"gt-to"
"165",2014,"GTM","Zacapa","totbiom_cons",4891,"gt-za"
"166",2014,"ZAF","Eastern Cape","elec_cons",3126,"za-ec"
"167",2014,"ZAF","Free State","elec_cons",3896,"za-fs"
"168",2014,"ZAF","Gauteng","elec_cons",5778,"za-gt"
"169",2014,"ZAF","KwaZulu-Natal","elec_cons",3522,"za-nl"
"170",2014,"ZAF","Limpopo","elec_cons",3015,"za-lp"
"171",2014,"ZAF","Mpumalanga","elec_cons",3889,"za-mp"
"172",2014,"ZAF","North West","elec_cons",2968,"za-nw"
"173",2014,"ZAF","Northern Cape","elec_cons",4143,"za-nc"
"174",2014,"ZAF","Western Cape","elec_cons",5874,"za-wc"
"175",2014,"ZAF","Eastern Cape","gas_cons",2,"za-ec"
"176",2014,"ZAF","Free State","gas_cons",3,"za-fs"
"177",2014,"ZAF","Gauteng","gas_cons",3,"za-gt"
"178",2014,"ZAF","KwaZulu-Natal","gas_cons",3,"za-nl"
"179",2014,"ZAF","Limpopo","gas_cons",2,"za-lp"
"180",2014,"ZAF","Mpumalanga","gas_cons",4,"za-mp"
"181",2014,"ZAF","North West","gas_cons",12,"za-nw"
"182",2014,"ZAF","Northern Cape","gas_cons",9,"za-nc"
"183",2014,"ZAF","Western Cape","gas_cons",44,"za-wc"
"184",2014,"ZAF","Eastern Cape","totbiom_cons",18,"za-ec"
"185",2014,"ZAF","Free State","totbiom_cons",46,"za-fs"
"186",2014,"ZAF","Gauteng","totbiom_cons",24,"za-gt"
"187",2014,"ZAF","KwaZulu-Natal","totbiom_cons",45,"za-nl"
"188",2014,"ZAF","Limpopo","totbiom_cons",63,"za-lp"
"189",2014,"ZAF","Mpumalanga","totbiom_cons",10,"za-mp"
"190",2014,"ZAF","North West","totbiom_cons",12,"za-nw"
"191",2014,"ZAF","Northern Cape","totbiom_cons",18,"za-nc"
"192",2014,"ZAF","Western Cape","totbiom_cons",40,"za-wc"
"193",2017,"BRA","Acre","elec_cons",3133,"br-ac"
"194",2017,"BRA","Alagoas","elec_cons",2458,"br-al"
"195",2017,"BRA","Amapa","elec_cons",3250,"br-ap"
"196",2017,"BRA","Amazonas","elec_cons",2587,"br-am"
"197",2017,"BRA","Bahia","elec_cons",2724,"br-ba"
"198",2017,"BRA","Ceara","elec_cons",2339,"br-ce"
"199",2017,"BRA","Distrito Federal","elec_cons",2899,"br-df"
"200",2017,"BRA","Espirito Santo","elec_cons",2767,"br-es"
"201",2017,"BRA","Goias","elec_cons",3006,"br-go"
"202",2017,"BRA","Maranhao","elec_cons",2117,"br-ma"
"203",2017,"BRA","Mato Grosso","elec_cons",3510,"br-mt"
"204",2017,"BRA","Mato Grosso do Sul","elec_cons",2452,"br-ms"
"205",2017,"BRA","Minas Gerais","elec_cons",2762,"br-mg"
"206",2017,"BRA","Para","elec_cons",1718,"br-pa"
"207",2017,"BRA","Paraiba","elec_cons",2539,"br-pb"
"208",2017,"BRA","Parana","elec_cons",2823,"br-pr"
"209",2017,"BRA","Pernambuco","elec_cons",1950,"br-pe"
"210",2017,"BRA","Piaui","elec_cons",2267,"br-pi"
"211",2017,"BRA","Rio Grande do Norte","elec_cons",2292,"br-rn"
"212",2017,"BRA","Rio Grande do Sul","elec_cons",3634,"br-rs"
"213",2017,"BRA","Rio de Janeiro","elec_cons",3340,"br-rj"
"214",2017,"BRA","Rondonia","elec_cons",2650,"br-ro"
"215",2017,"BRA","Roraima","elec_cons",3555,"br-rr"
"216",2017,"BRA","Santa Catarina","elec_cons",3732,"br-sc"
"217",2017,"BRA","Sao Paulo","elec_cons",2943,"br-sp"
"218",2017,"BRA","Sergipe","elec_cons",2356,"br-se"
"219",2017,"BRA","Tocantins","elec_cons",2468,"br-to"
"220",2017,"BRA","Acre","gas_cons",1977,"br-ac"
"221",2017,"BRA","Alagoas","gas_cons",2017,"br-al"
"222",2017,"BRA","Amapa","gas_cons",2021,"br-ap"
"223",2017,"BRA","Amazonas","gas_cons",1699,"br-am"
"224",2017,"BRA","Bahia","gas_cons",1663,"br-ba"
"225",2017,"BRA","Ceara","gas_cons",1743,"br-ce"
"226",2017,"BRA","Distrito Federal","gas_cons",1724,"br-df"
"227",2017,"BRA","Espirito Santo","gas_cons",1898,"br-es"
"228",2017,"BRA","Goias","gas_cons",1759,"br-go"
"229",2017,"BRA","Maranhao","gas_cons",1789,"br-ma"
"230",2017,"BRA","Mato Grosso","gas_cons",2095,"br-mt"
"231",2017,"BRA","Mato Grosso do Sul","gas_cons",1887,"br-ms"
"232",2017,"BRA","Minas Gerais","gas_cons",1723,"br-mg"
"233",2017,"BRA","Para","gas_cons",1803,"br-pa"
"234",2017,"BRA","Paraiba","gas_cons",1951,"br-pb"
"235",2017,"BRA","Parana","gas_cons",1593,"br-pr"
"236",2017,"BRA","Pernambuco","gas_cons",1710,"br-pe"
"237",2017,"BRA","Piaui","gas_cons",1819,"br-pi"
"238",2017,"BRA","Rio Grande do Norte","gas_cons",1763,"br-rn"
"239",2017,"BRA","Rio Grande do Sul","gas_cons",1608,"br-rs"
"240",2017,"BRA","Rio de Janeiro","gas_cons",1963,"br-rj"
"241",2017,"BRA","Rondonia","gas_cons",1865,"br-ro"
"242",2017,"BRA","Roraima","gas_cons",1925,"br-rr"
"243",2017,"BRA","Santa Catarina","gas_cons",1401,"br-sc"
"244",2017,"BRA","Sao Paulo","gas_cons",1717,"br-sp"
"245",2017,"BRA","Sergipe","gas_cons",1941,"br-se"
"246",2017,"BRA","Tocantins","gas_cons",1929,"br-to"
"247",2017,"GHA","Ashanti","elec_cons",758,"gh-ah"
"248",2017,"GHA","Brong Ahafo","elec_cons",439,"gh-ba"
"249",2017,"GHA","Central","elec_cons",348,"gh-cp"
"250",2017,"GHA","Eastern","elec_cons",373,"gh-ep"
"251",2017,"GHA","Greater Accra","elec_cons",836,"gh-aa"
"252",2017,"GHA","Northern","elec_cons",230,"gh-np"
"253",2017,"GHA","Upper East","elec_cons",117,"gh-ue"
"254",2017,"GHA","Upper West","elec_cons",306,"gh-uw"
"255",2017,"GHA","Volta","elec_cons",396,"gh-tv"
"256",2017,"GHA","Western","elec_cons",549,"gh-wp"
"257",2017,"GHA","Ashanti","gas_cons",161,"gh-ah"
"258",2017,"GHA","Brong Ahafo","gas_cons",14,"gh-ba"
"259",2017,"GHA","Central","gas_cons",136,"gh-cp"
"260",2017,"GHA","Eastern","gas_cons",85,"gh-ep"
"261",2017,"GHA","Greater Accra","gas_cons",352,"gh-aa"
"262",2017,"GHA","Northern","gas_cons",28,"gh-np"
"263",2017,"GHA","Upper East","gas_cons",51,"gh-ue"
"264",2017,"GHA","Upper West","gas_cons",24,"gh-uw"
"265",2017,"GHA","Volta","gas_cons",102,"gh-tv"
"266",2017,"GHA","Western","gas_cons",93,"gh-wp"
"267",2017,"GHA","Ashanti","totbiom_cons",572,"gh-ah"
"268",2017,"GHA","Brong Ahafo","totbiom_cons",155,"gh-ba"
"269",2017,"GHA","Central","totbiom_cons",770,"gh-cp"
"270",2017,"GHA","Eastern","totbiom_cons",735,"gh-ep"
"271",2017,"GHA","Greater Accra","totbiom_cons",872,"gh-aa"
"272",2017,"GHA","Northern","totbiom_cons",485,"gh-np"
